z	56.45963627057186
a	49.4345229408031
s	63.37029702332176
v	69.08356690860049
e	67.00134931171256
t	53.33366531274707
O	66.11569748310762
m	65.29827082765411
S	57.31217982243413
p	45.868908326430706
tS	58.912898048038585
b	58.09648711669716
l	69.04875076426836
E	67.87890418423
n	61.07561496070011
i	52.62931156442825
j	61.771631745530186
w	62.468324676349916
d	63.8490028138735
W	58.308923414021365
o	66.06963436864551
@	68.14407696924951
r	67.62134608019137
k	49.791142958331385
g	61.666544624402945
u	64.1504335730481
ts	57.690797630706506
x	56.47422535339579
